t,eps,rho,T_partial,P_weak,T_dis,T_overlay,lambda
3,0.236,0.264,21.3,0.0,22.58,72.21,48.0
4,0.285,0.215,29.19,-0.0,22.98,73.02,63.0
5,0.319,0.181,36.84,-3.91,27.2,73.5,78.0
6,0.344,0.156,44.28,-11.89,35.42,73.57,93.0
7,0.363,0.137,51.59,-19.66,43.39,73.61,107.0
8,0.377,0.123,58.76,-27.2,51.11,73.64,121.0
9,0.389,0.111,65.84,-34.55,58.62,73.66,135.0
10,0.399,0.101,72.82,-41.73,65.94,73.67,148.0
11,0.408,0.092,79.71,-48.75,73.08,73.54,162.0
12,0.415,0.085,86.54,-55.64,80.09,73.56,175.0
13,0.421,0.079,93.29,-62.4,86.95,73.46,188.0
14,0.426,0.074,99.99,-69.04,93.69,73.37,202.0
